row_id,MedInc,HouseAge,AveRooms,AveBedrms,Population,AveOccup,Latitude,Longitude,MedHouseVal
913,5.7057,27.0,6.0191,0.965,889.0,2.8312,37.53,-122.01,2.876
926,6.0878,26.0,5.6471,0.902,1105.0,3.0952,37.47,-121.92,2.469
964,6.3373,12.0,6.5933,1.0625,3329.0,2.9305,37.68,-121.89,3.397
998,5.4324,17.0,5.9758,0.9653,2222.0,3.3565,37.69,-121.8,2.155
1011,3.0222,17.0,4.5765,1.2824,1392.0,2.0471,37.68,-121.78,1.725
1057,2.3155,14.0,4.2901,1.1314,1215.0,2.2172,39.76,-121.84,1.023
1086,1.6911,18.0,4.7717,1.023,5022.0,3.2953,39.72,-121.85,0.988
1180,2.4952,14.0,5.7086,1.043,939.0,3.1093,39.47,-121.54,0.539
1190,2.425,17.0,5.4858,1.1019,1970.0,2.9535,39.4,-121.46,0.962
1194,1.9943,27.0,5.1773,1.0,1241.0,2.4721,39.37,-121.67,0.863
1195,1.7552,24.0,4.4185,1.1057,1098.0,4.837,39.35,-121.65,0.864
1239,3.075,13.0,33.9897,6.8247,267.0,2.7526,38.31,-120.27,1.083
1289,3.1728,17.0,6.5243,1.3172,1749.0,2.8301,38.01,-121.79,1.468
1295,4.8194,18.0,6.4233,1.0183,1315.0,3.0092,37.99,-121.81,1.704
1340,2.1417,12.0,4.39,1.0557,943.0,2.7654,38.02,-121.9,1.222
1341,4.6628,16.0,5.4137,0.9439,1696.0,3.526,38.01,-121.9,1.36
1343,4.0972,32.0,4.717,0.8868,663.0,3.1274,38.01,-121.89,0.992
1416,3.2484,16.0,4.3399,1.0339,1447.0,2.0409,38.0,-122.04,0.911
1438,5.1021,27.0,5.7796,0.993,1171.0,2.7169,37.97,-122.0,2.028
1471,5.3794,34.0,6.818,1.0418,1250.0,2.6151,37.97,-122.01,2.062
1476,2.9097,16.0,4.2035,1.0433,1705.0,2.4603,37.96,-122.04,1.063
1479,2.2411,20.0,3.8356,1.1611,578.0,1.9396,37.96,-122.04,1.518
1482,1.837,27.0,4.1525,1.1701,1500.0,2.4077,37.96,-122.04,1.75
1540,6.112,29.0,6.6925,1.0553,1035.0,2.2898,37.86,-122.03,3.906
1593,10.3224,32.0,7.8388,1.0191,2099.0,2.8675,37.9,-122.14,5.0
1640,5.2699,8.0,7.3868,1.0719,3325.0,3.2726,37.98,-121.84,2.042
1741,3.9118,46.0,4.8685,0.9402,819.0,3.2629,37.96,-122.33,1.294
1748,3.375,25.0,4.1942,0.9782,934.0,2.267,37.96,-122.32,1.337
1872,2.4917,27.0,38.8409,9.2727,97.0,2.2045,38.94,-119.93,2.0
1893,1.7188,23.0,4.8687,1.2424,485.0,2.4495,38.92,-120.01,0.961
1911,4.0313,18.0,15.814,3.1163,350.0,2.7132,39.04,-120.16,1.26
1943,4.1843,12.0,6.3301,1.0418,2033.0,2.8315,38.62,-120.91,2.076
1957,2.9844,31.0,5.301,1.0476,1606.0,2.7313,38.73,-120.78,1.279
1981,5.7373,12.0,5.6595,0.9957,731.0,3.1509,38.63,-120.84,2.083
1984,3.4872,18.0,5.4088,1.0009,2697.0,2.4608,38.69,-120.85,1.414
2008,1.8967,52.0,5.0,1.0492,406.0,3.3279,36.74,-119.82,0.438
2017,1.0481,19.0,4.1818,1.0533,1171.0,3.6708,36.72,-119.8,0.485
2049,2.2437,9.0,4.1142,1.0863,678.0,1.7208,36.73,-119.73,0.542
2054,2.1563,36.0,6.0422,1.135,836.0,3.5274,36.69,-119.69,0.883
2055,1.8355,29.0,4.4874,1.1264,836.0,3.0181,36.68,-119.76,0.742
2108,1.8958,39.0,5.0144,1.0115,1098.0,3.1643,36.74,-119.75,0.513
2110,2.5111,49.0,4.8868,0.9644,1290.0,2.7044,36.75,-119.75,0.554
2122,2.4728,18.0,5.3494,1.103,4476.0,2.9564,36.74,-119.71,0.883
2140,2.6726,32.0,5.0051,1.0179,1005.0,2.5638,36.77,-119.75,0.704
2169,3.0938,7.0,4.9666,1.0771,1014.0,2.6067,36.79,-119.87,0.767
2198,7.5,8.0,6.5649,0.9466,1111.0,2.827,36.85,-119.88,2.562
2201,4.8036,11.0,6.1654,1.0543,1101.0,2.7185,36.83,-119.85,1.416
2206,4.2132,2.0,6.2003,1.1239,1730.0,2.6453,36.83,-119.88,0.965
2232,2.8274,12.0,4.7683,1.0122,292.0,1.7805,36.85,-119.78,0.795
2291,2.8994,34.0,5.2952,0.9629,1938.0,2.9954,36.8,-119.78,0.66
2337,5.0864,4.0,6.9643,1.0844,1024.0,3.3247,36.83,-119.67,1.137
2371,2.1182,40.0,3.7937,1.0349,1135.0,3.6032,36.7,-119.56,0.589
2395,3.875,23.0,50.8378,10.2703,64.0,1.7297,37.12,-119.34,1.25
2400,2.2202,13.0,5.4941,1.1309,1385.0,2.7051,36.71,-119.25,1.0
2414,1.767,15.0,4.4369,0.9903,1266.0,4.0971,36.59,-119.43,0.633
2436,2.8287,28.0,4.7143,0.974,919.0,2.9838,36.58,-119.6,0.731
2438,4.0197,17.0,5.8193,0.9924,1330.0,3.3842,36.59,-119.62,0.88
2459,2.5921,20.0,6.0242,1.1453,1466.0,5.0727,36.52,-119.73,0.942
2461,2.8125,29.0,6.0786,1.075,914.0,3.2643,36.46,-119.69,0.792
2462,1.7813,29.0,4.6486,0.9199,1278.0,3.3023,36.43,-119.69,0.579
2491,2.4937,31.0,5.278,0.991,744.0,3.3363,36.65,-120.25,0.66
2527,2.3566,22.0,5.4966,1.1077,1647.0,2.7727,39.53,-122.2,0.71
2534,2.8466,34.0,6.3696,1.0621,958.0,2.9752,39.6,-122.05,0.953
2549,1.9688,43.0,4.7407,0.9938,1169.0,2.4253,40.79,-124.17,0.705
2582,1.1742,25.0,3.4881,1.0211,794.0,2.095,40.86,-124.09,0.75
2585,1.1479,29.0,4.0235,1.1035,990.0,2.3294,40.87,-124.08,1.011
2594,2.5667,12.0,4.7648,0.968,1603.0,3.6598,40.88,-124.06,1.395
2600,1.4911,19.0,5.4954,1.1743,1033.0,3.159,41.11,-123.63,0.592
2607,3.538,21.0,5.0266,1.0598,943.0,3.1329,40.97,-124.01,1.027
2656,1.9417,32.0,7.6471,2.2406,434.0,2.3209,40.28,-124.25,0.761
2670,2.4511,37.0,4.993,1.3169,390.0,2.7465,33.2,-115.6,0.725
2676,3.1979,17.0,5.461,0.9481,473.0,3.0714,32.96,-115.59,1.135
2715,3.6597,10.0,5.4129,1.01,533.0,2.6517,32.81,-115.58,0.875
2763,4.0208,15.0,10.4,2.45,51.0,2.55,32.93,-115.88,0.325
2782,1.2049,17.0,4.3375,1.2062,775.0,2.4219,32.74,-114.66,0.44
2808,2.2727,40.0,4.9954,1.0367,520.0,2.3853,35.42,-119.02,0.672
2813,1.8403,47.0,4.7235,1.1229,913.0,2.5503,35.42,-119.04,0.547
2910,1.8362,36.0,4.7251,1.0073,1051.0,2.5572,35.36,-119.04,0.669
2980,3.4286,34.0,5.8868,1.0494,1375.0,2.8292,35.34,-119.02,0.714
3023,2.8323,40.0,5.3868,1.0505,1998.0,2.5847,35.17,-119.46,0.508
3148,2.3917,10.0,6.5897,1.3565,1167.0,2.6166,35.27,-118.34,0.79
3182,2.2937,25.0,5.1863,1.0708,2414.0,2.512,36.31,-119.79,0.723
3184,2.1681,30.0,5.2443,1.1108,1255.0,3.5653,36.3,-119.78,0.666
3198,3.5486,4.0,6.2083,1.305,1478.0,2.4633,36.37,-119.65,1.48
3230,1.8839,25.0,5.2323,1.051,1460.0,4.136,36.31,-119.61,0.463
3263,2.2188,20.0,5.7398,1.1786,521.0,2.6582,39.14,-122.88,1.063
3273,3.5652,16.0,6.192,1.18,605.0,2.42,39.05,-122.92,1.19
3318,2.5326,20.0,6.2925,1.2925,647.0,2.5573,39.05,-122.86,1.368
3331,2.1953,15.0,5.1648,1.2051,599.0,2.1941,38.92,-122.59,0.75
3358,2.2992,52.0,4.9666,1.1408,1051.0,2.5084,40.41,-120.66,0.702
3382,4.6635,35.0,5.1933,0.9533,371.0,2.4733,34.25,-118.27,2.301
3435,2.1062,26.0,3.6942,1.0764,2582.0,5.3347,34.26,-118.42,1.364
3468,3.0,31.0,4.584,1.0756,892.0,3.7479,34.31,-118.48,1.724
3494,2.7353,17.0,5.3481,1.0444,523.0,1.937,34.27,-118.47,1.924
3501,2.6193,28.0,4.2386,1.0523,1182.0,2.6864,34.27,-118.46,1.723
3514,4.6591,27.0,6.4964,1.1169,1164.0,2.778,34.26,-118.49,2.399
3543,7.167,20.0,7.7287,1.0731,3562.0,3.3795,34.26,-118.59,3.571
3549,6.5146,18.0,6.7122,1.0976,670.0,3.2683,34.22,-118.63,2.776
3595,5.2939,35.0,6.0831,1.0022,1224.0,2.7506,34.24,-118.49,2.442
3629,5.6629,33.0,5.5561,1.0247,1567.0,3.5135,34.23,-118.42,1.867
3634,3.4013,35.0,5.303,0.987,720.0,3.1169,34.23,-118.43,1.765
3684,3.1563,36.0,4.5941,1.0759,1181.0,3.8977,34.21,-118.37,1.764
3768,5.9275,37.0,5.8294,0.9735,794.0,2.3353,34.17,-118.43,3.369
3806,2.1888,30.0,3.297,1.0368,2172.0,3.0721,34.21,-118.45,1.956
3822,3.8833,36.0,4.8652,1.0,1132.0,2.6761,34.19,-118.48,2.104
3851,2.2461,35.0,3.7969,1.0547,550.0,2.1484,34.18,-118.44,2.15
3911,3.6905,21.0,4.0589,1.0366,1624.0,2.586,34.2,-118.55,1.798
3970,4.8125,34.0,6.2968,1.072,986.0,2.8415,34.19,-118.56,2.667
3972,3.3125,27.0,4.1491,1.0368,2863.0,2.7715,34.19,-118.58,2.228
3992,7.7846,26.0,7.6636,1.0227,2574.0,2.9151,34.17,-118.64,4.09
4012,4.1656,37.0,6.3254,1.0735,1283.0,2.3585,34.16,-118.6,3.131
4034,7.1322,35.0,7.7183,1.0103,1244.0,3.2145,34.17,-118.56,5.0
4057,4.6375,15.0,4.3504,1.0591,1669.0,1.6427,34.15,-118.44,3.591
4066,4.6,30.0,6.2467,1.2092,1449.0,2.3676,34.16,-118.47,3.925
4114,5.738,33.0,5.9846,1.1,258.0,1.9846,34.14,-118.41,4.976
4115,4.0439,27.0,4.9875,1.115,1417.0,1.7712,34.14,-118.42,5.0
4136,1.9219,52.0,3.8198,1.0989,904.0,3.1943,34.12,-118.18,1.651
4137,4.21,45.0,5.0892,1.0361,1569.0,3.3312,34.12,-118.18,1.679
4139,2.369,29.0,4.0305,1.1252,1795.0,2.7405,34.12,-118.18,1.734
4152,2.5139,52.0,3.6039,1.0776,1189.0,3.2936,34.12,-118.21,1.9
4166,1.9355,37.0,3.7431,1.1211,1698.0,3.1156,34.11,-118.2,1.663
4191,5.2049,37.0,5.0902,0.949,750.0,2.9412,34.12,-118.22,2.408
4214,2.1071,47.0,3.2895,0.8589,1512.0,3.6172,34.13,-118.27,2.089
4252,3.0179,52.0,4.7652,1.0739,423.0,1.8391,34.1,-118.36,5.0
4269,1.705,33.0,2.5115,1.1377,918.0,3.0098,34.1,-118.31,3.5
4288,1.8156,40.0,2.5004,0.9935,3953.0,3.2322,34.09,-118.3,2.188
4414,2.6336,43.0,3.1044,1.0359,1919.0,3.1305,34.09,-118.25,1.743
4415,2.935,52.0,4.4748,1.1271,1211.0,2.9041,34.09,-118.25,1.894
4429,1.8173,31.0,3.0076,0.8931,573.0,4.374,34.08,-118.22,1.542
4434,2.2708,34.0,3.53,1.102,2203.0,4.406,34.07,-118.2,1.596
4462,4.9231,8.0,4.7489,1.1362,435.0,1.8511,34.1,-118.18,2.309
4480,3.875,37.0,4.7925,0.9336,814.0,3.3776,34.07,-118.17,1.485
4532,2.2788,47.0,3.7746,1.1301,1499.0,4.3324,34.04,-118.21,1.396
4583,1.3241,25.0,1.6544,1.1351,3723.0,3.5936,34.06,-118.27,1.125
4585,1.4904,26.0,1.5981,1.053,1204.0,3.7508,34.06,-118.27,2.75
4592,1.7866,25.0,1.6786,1.0663,2796.0,3.5663,34.05,-118.27,3.25
4631,2.2094,20.0,2.1652,1.0887,1749.0,2.1252,34.06,-118.3,0.75
4636,1.5553,42.0,1.8061,1.0635,6846.0,3.1753,34.06,-118.29,0.7
4643,1.7896,23.0,2.2469,1.076,3720.0,3.3274,34.06,-118.3,3.222
4653,8.3617,52.0,5.5161,0.9315,737.0,2.9718,34.06,-118.33,4.338
4700,3.5573,21.0,4.1045,1.0742,1510.0,1.6966,34.07,-118.38,5.0
4737,4.4191,52.0,5.7991,0.9813,526.0,2.4579,34.05,-118.38,3.341
4741,2.5806,47.0,4.7391,1.1431,1533.0,2.5808,34.05,-118.35,2.341
4747,2.2725,39.0,3.4211,1.0246,723.0,2.5368,34.05,-118.34,1.406
4777,1.7377,33.0,3.9759,1.0722,1714.0,2.945,34.03,-118.33,1.839
4819,2.4297,51.0,3.2843,1.0261,1227.0,4.0098,34.05,-118.3,1.625
4890,1.913,35.0,2.9675,1.0542,2239.0,4.8568,34.02,-118.25,1.143
4934,1.852,40.0,3.9679,1.1323,2311.0,4.3686,34.0,-118.27,1.015
4965,1.4639,6.0,3.6898,1.1613,1509.0,3.7444,34.0,-118.29,1.125
5048,4.4028,33.0,5.9241,1.1257,900.0,2.356,34.02,-118.37,2.468
5094,3.375,46.0,4.6875,1.0428,1140.0,3.75,33.97,-118.3,0.985
5129,1.3042,45.0,3.9534,0.9883,1502.0,3.5012,33.98,-118.27,0.992
5147,1.5326,52.0,3.6768,0.9558,1144.0,3.1602,33.97,-118.26,0.906
5190,1.8191,36.0,4.2277,1.0634,1247.0,3.5937,33.93,-118.27,0.927
5218,1.35,40.0,4.1713,0.979,1210.0,4.2308,33.95,-118.24,0.895
5243,12.3767,27.0,7.737,1.1222,654.0,2.4222,34.12,-118.42,5.0
5253,13.2935,27.0,7.6071,1.0127,2336.0,2.6912,34.11,-118.49,5.0
5268,7.3031,24.0,7.1754,1.0738,761.0,2.3415,34.06,-118.56,5.0
5283,4.2554,20.0,3.7781,1.0624,2202.0,1.527,34.06,-118.46,5.0
5288,4.175,27.0,4.5748,1.0738,1725.0,1.7931,34.05,-118.47,5.0
5297,2.0511,21.0,3.2589,1.1741,965.0,4.308,34.07,-118.44,3.5
5318,10.8045,44.0,5.4948,0.9278,291.0,3.0,34.06,-118.42,5.0
5334,3.0069,25.0,3.0644,1.0272,1390.0,1.9886,34.04,-118.46,3.25
5366,5.5951,44.0,6.6184,1.0106,635.0,2.2438,34.04,-118.39,4.613
5411,4.5795,43.0,5.8667,1.025,651.0,2.7125,34.01,-118.44,4.0
5418,6.2917,39.0,5.3128,1.0243,1321.0,2.141,34.02,-118.44,4.657
5419,3.9091,38.0,5.9022,1.1875,830.0,2.2554,34.02,-118.43,5.0
5464,2.3417,40.0,3.2385,1.1567,865.0,1.4736,33.98,-118.51,4.25
5466,3.015,50.0,3.2803,1.0481,764.0,1.5983,33.99,-118.47,4.143
5476,3.875,52.0,4.5773,1.0619,376.0,1.9381,34.0,-118.46,3.72
5543,5.611,36.0,5.7279,1.0249,996.0,2.2585,33.98,-118.4,4.566
5589,2.9154,9.0,3.7193,1.1818,1790.0,2.393,33.79,-118.3,2.033
5590,3.163,13.0,4.0557,1.05,2159.0,2.4534,33.79,-118.3,2.242
5617,3.5488,42.0,4.8216,1.0954,1044.0,4.332,33.79,-118.26,2.056
5759,2.3482,17.0,3.8792,1.0735,2986.0,3.007,34.17,-118.29,2.554
5778,3.0,14.0,3.4542,1.0359,1941.0,2.2491,34.15,-118.26,1.786
5782,3.3906,20.0,4.5041,1.084,1562.0,2.5733,34.15,-118.24,2.841
5821,7.1262,27.0,7.0127,1.0291,3199.0,2.9082,34.22,-118.31,4.462
5881,3.7941,37.0,4.7715,1.1523,1235.0,2.4749,34.16,-118.33,2.478
5911,2.3724,27.0,3.2285,1.0487,1243.0,4.6554,34.28,-118.43,1.542
5914,2.3375,30.0,3.3717,1.0088,840.0,3.7168,34.29,-118.45,1.542
5931,6.5253,26.0,7.298,1.0195,3460.0,3.0592,34.14,-117.83,3.499
5960,4.9844,29.0,6.0022,0.982,1484.0,3.3348,34.11,-117.83,2.03
5966,3.6201,21.0,4.6662,1.0831,1866.0,2.5013,34.11,-117.81,1.504
5981,3.5072,29.0,5.1541,0.9173,2477.0,4.656,34.1,-117.74,1.219
6029,5.2269,52.0,6.2696,1.0441,444.0,2.1765,34.07,-117.75,1.61
6031,3.2481,34.0,5.5282,0.9899,1761.0,3.5504,34.08,-117.72,1.288
6046,3.15,26.0,4.7247,1.0049,3367.0,4.1568,34.04,-117.73,1.297
6069,6.4333,16.0,6.199,1.0035,2120.0,3.6998,34.02,-117.87,2.715
6085,5.2405,36.0,6.335,0.955,640.0,3.2,34.09,-117.87,2.2
6133,2.564,32.0,4.1866,1.0353,2660.0,4.4706,34.06,-117.99,1.458
6143,3.7727,22.0,4.8056,1.0263,5389.0,4.5747,34.1,-117.98,1.597
6152,3.2266,30.0,4.3224,1.0234,2847.0,4.4346,34.1,-117.96,1.418
6161,4.4653,32.0,5.4406,1.0342,1669.0,3.3581,34.08,-117.94,1.954
6189,2.9437,27.0,4.9205,1.0722,1762.0,2.595,34.1,-117.89,1.804
6201,3.1949,25.0,4.434,1.0252,1107.0,2.3208,34.08,-117.89,2.074
6232,3.3523,25.0,4.9972,1.1129,1187.0,3.27,34.07,-117.94,1.708
6258,3.0904,36.0,5.1937,0.9507,1149.0,4.0458,34.05,-117.96,1.586
6297,5.0704,15.0,5.63,0.9956,8997.0,3.6031,34.02,-117.9,2.262
6298,3.8201,22.0,5.0112,1.0224,5587.0,4.466,34.02,-117.91,1.362
6331,5.0142,15.0,5.982,1.0406,2418.0,3.6361,33.99,-117.95,2.699
6335,6.2517,25.0,7.1954,0.9974,1348.0,3.4653,33.99,-117.96,3.111
6344,1.4722,4.0,3.7696,1.3713,727.0,1.9702,34.06,-117.74,1.375
6349,4.4821,33.0,6.2246,1.0435,421.0,3.0507,34.15,-117.94,2.201
6391,15.0001,37.0,8.7611,1.0,697.0,3.0841,34.15,-118.06,5.0
6409,6.1536,37.0,6.8389,1.0942,989.0,3.0061,34.12,-118.02,3.66
6418,2.5417,43.0,4.1864,1.0259,1544.0,2.5024,34.15,-118.0,1.783
6443,2.9422,32.0,4.9316,1.1257,1512.0,2.7948,34.1,-118.03,2.331
6446,7.1885,37.0,7.3276,1.0172,598.0,3.4368,34.11,-118.04,5.0
6492,3.6531,30.0,4.562,1.044,1969.0,3.938,34.08,-118.01,1.663
6582,6.7571,42.0,6.6652,1.058,665.0,2.9688,34.21,-118.2,4.439
6651,1.9923,41.0,3.2794,1.0627,855.0,2.2324,34.15,-118.14,5.0
6673,3.6474,26.0,3.9231,0.9982,1186.0,2.1216,34.15,-118.11,1.841
6686,3.4087,45.0,4.6795,1.0128,672.0,2.8718,34.15,-118.07,2.092
6723,3.6389,34.0,3.8685,1.0516,430.0,2.0188,34.13,-118.15,2.15
6732,9.7912,44.0,7.0363,0.9556,693.0,2.7944,34.13,-118.1,5.0
6752,4.6442,36.0,6.1535,1.0934,1231.0,2.5539,34.11,-118.09,3.168
6756,6.7099,50.0,7.5035,1.0352,753.0,2.6514,34.11,-118.11,3.522
6773,3.8427,36.0,4.3645,1.0792,2719.0,1.9394,34.12,-118.15,3.197
6809,3.3801,20.0,4.187,1.0867,2109.0,2.8577,34.1,-118.11,1.925
6842,1.1875,17.0,3.0176,1.007,1590.0,2.7993,34.06,-118.13,1.839
6981,6.0663,30.0,6.8625,1.0399,3124.0,3.2781,33.97,-118.0,3.726
7005,4.3203,37.0,5.1406,0.9625,1077.0,3.3656,33.97,-118.06,1.592
7038,2.7647,20.0,4.1097,1.0151,1407.0,3.0258,33.96,-118.09,1.63
7086,4.9205,35.0,5.152,0.96,758.0,3.032,33.93,-118.0,1.739
7115,4.2305,32.0,5.8918,1.2359,2541.0,5.5,33.91,-118.01,2.214
7148,2.8385,42.0,4.5143,0.957,1470.0,3.0123,34.03,-118.13,1.922
7161,2.4167,31.0,4.1053,1.0202,1064.0,4.3077,34.03,-118.17,1.255
7163,3.5938,46.0,4.7315,1.1208,655.0,4.396,34.04,-118.17,1.411
7165,3.1528,35.0,4.1589,0.9735,2990.0,9.9007,34.05,-118.17,1.218
7185,2.75,39.0,4.1095,1.0073,682.0,4.9781,34.04,-118.17,1.5
7238,2.075,40.0,4.02,1.0483,2119.0,3.5317,34.01,-118.13,1.511
7261,3.2188,39.0,2.0435,0.6957,51.0,2.2174,33.99,-118.21,1.125
7286,3.0724,45.0,3.0351,0.7368,230.0,4.0351,33.98,-118.24,1.107
7302,3.3869,40.0,3.623,1.0164,1930.0,4.5199,33.99,-118.19,1.573
7352,3.0938,31.0,3.6677,0.9763,1486.0,4.4095,33.98,-118.17,1.554
7353,2.4821,33.0,3.5958,1.018,1482.0,4.4371,33.96,-118.15,1.5
7402,0.9166,42.0,5.0357,1.2357,739.0,5.2786,33.95,-118.23,0.99
7406,2.5966,32.0,3.6711,0.9918,2361.0,3.8832,33.96,-118.22,1.709
7418,3.4323,41.0,3.9322,1.0551,1108.0,4.6949,33.94,-118.22,1.446
7436,3.3661,45.0,4.8979,0.9712,1315.0,3.4424,33.94,-118.19,1.608
7483,2.1964,30.0,2.3439,0.8995,903.0,4.7778,33.93,-118.22,1.25
7488,3.4539,43.0,4.5611,0.9771,1251.0,4.7748,33.92,-118.22,1.25
7518,3.4917,35.0,5.0651,0.9315,963.0,3.2979,33.91,-118.25,1.095
7519,2.4375,39.0,4.8446,1.0881,711.0,3.6839,33.91,-118.26,1.019
7603,2.4821,37.0,5.2507,1.0427,1207.0,3.4387,33.88,-118.24,1.11
7610,2.125,37.0,4.596,1.12,1016.0,4.064,33.88,-118.22,1.019
7621,4.25,18.0,5.602,1.0387,3704.0,3.0461,33.87,-118.25,1.692
7688,4.5694,27.0,4.7062,1.0311,995.0,2.8107,33.95,-118.1,2.043
7703,4.0,38.0,4.5614,0.886,557.0,2.443,33.96,-118.13,2.547
7741,2.7875,35.0,4.4837,1.1433,1592.0,2.5928,33.95,-118.15,2.09
7793,3.1917,35.0,3.9088,1.0584,1412.0,5.1533,33.89,-118.08,1.149
7841,2.4333,25.0,4.1683,1.078,1177.0,2.8707,33.9,-118.18,1.55
7868,3.1923,40.0,4.3088,1.0496,1305.0,2.3989,33.88,-118.12,1.919
7872,4.5735,39.0,5.2848,1.0273,1048.0,3.1758,33.89,-118.14,1.955
7885,3.0989,21.0,4.0133,1.0752,4396.0,2.6659,33.87,-118.14,1.714
7908,5.7039,19.0,5.6743,0.9943,572.0,3.2686,33.85,-118.1,2.776
7915,5.1645,26.0,5.48,0.9818,931.0,3.3855,33.88,-118.08,2.449
7925,4.8448,31.0,5.255,1.0452,1806.0,3.2658,33.84,-118.08,1.946
7944,3.5833,45.0,5.4244,0.9971,919.0,2.6715,33.86,-118.13,2.002
7958,4.625,47.0,5.069,1.0632,536.0,3.0805,33.88,-118.18,1.63
7973,3.225,32.0,4.3057,1.0829,1082.0,3.0914,33.88,-118.21,1.382
8013,5.296,35.0,6.8061,1.0228,924.0,3.5133,33.84,-118.1,2.262
8041,4.1538,36.0,5.7642,1.0189,1199.0,2.8278,33.84,-118.16,2.188
8053,2.25,24.0,4.4982,1.1722,537.0,1.967,33.84,-118.19,1.92
8105,2.3605,39.0,4.005,1.1479,1691.0,4.2381,33.79,-118.21,1.418
8151,3.7031,36.0,6.2768,1.0395,444.0,2.5085,33.81,-118.1,2.453
8177,4.4831,36.0,5.2561,0.9817,838.0,2.5549,33.8,-118.09,2.539
8218,2.0675,25.0,3.1468,1.0684,3744.0,4.1325,33.79,-118.2,1.167
8223,1.3274,21.0,2.8287,1.0619,2924.0,3.0175,33.78,-118.19,2.188
8229,1.2864,40.0,2.5521,1.128,1257.0,1.5772,33.77,-118.2,1.313
8249,1.7393,29.0,3.7824,1.2461,3580.0,4.6373,33.78,-118.17,1.402
8274,3.0503,25.0,4.0413,1.1578,2178.0,1.9982,33.77,-118.17,2.25
8399,2.8438,32.0,3.852,1.0325,1053.0,3.8014,33.95,-118.37,1.817
8439,3.0132,44.0,4.9057,1.0943,392.0,3.6981,33.93,-118.36,2.025
8441,4.3333,42.0,4.6076,0.9976,1184.0,2.7991,33.91,-118.36,2.256
8463,3.2649,17.0,3.8352,1.0536,2536.0,2.6117,33.91,-118.34,2.021
8494,3.287,19.0,3.6682,1.0439,1726.0,2.6152,33.9,-118.3,1.814
8509,3.5556,35.0,4.8475,1.03,1036.0,2.59,33.88,-118.31,2.38
8548,3.2589,42.0,4.2151,1.064,493.0,2.8663,33.88,-118.34,2.333
