age,job,marital,education,default,balance,housing,loan,contact,day,month,duration,campaign,pdays,previous,poutcome,y
45,services,married,secondary,no,-3,yes,no,unknown,13,may,213,1,-1,0,unknown,no
26,services,married,secondary,no,54,yes,no,unknown,13,may,116,1,-1,0,unknown,no
30,technician,single,secondary,no,-208,yes,yes,unknown,13,may,108,1,-1,0,unknown,no
21,blue-collar,single,secondary,no,614,yes,no,unknown,13,may,243,3,-1,0,unknown,no
26,technician,married,tertiary,no,3825,yes,no,unknown,13,may,107,1,-1,0,unknown,no
45,blue-collar,married,secondary,no,4646,yes,no,unknown,13,may,118,1,-1,0,unknown,no
44,technician,divorced,secondary,no,181,no,no,unknown,13,may,302,1,-1,0,unknown,no
42,management,married,tertiary,no,1823,yes,no,unknown,13,may,31,1,-1,0,unknown,no
53,retired,single,secondary,no,1421,yes,no,unknown,13,may,225,2,-1,0,unknown,no
35,services,married,secondary,no,-371,yes,no,unknown,13,may,358,2,-1,0,unknown,no
49,self-employed,married,secondary,no,358,yes,yes,unknown,13,may,176,3,-1,0,unknown,no
31,admin.,single,secondary,no,513,yes,no,unknown,13,may,180,1,-1,0,unknown,no
52,technician,divorced,secondary,no,1161,yes,no,unknown,13,may,271,1,-1,0,unknown,no
44,technician,married,primary,no,2887,yes,no,unknown,13,may,182,1,-1,0,unknown,no
52,admin.,divorced,secondary,no,26,yes,no,unknown,13,may,215,1,-1,0,unknown,no
33,blue-collar,married,secondary,no,152,yes,no,unknown,13,may,351,2,-1,0,unknown,no
38,blue-collar,married,unknown,no,113,no,no,unknown,13,may,25,10,-1,0,unknown,no
57,technician,divorced,secondary,no,0,yes,no,unknown,14,may,360,2,-1,0,unknown,no
39,entrepreneur,married,secondary,no,580,yes,no,unknown,14,may,323,4,-1,0,unknown,no
44,entrepreneur,married,secondary,no,0,no,no,unknown,14,may,211,2,-1,0,unknown,no
40,blue-collar,married,secondary,no,-31,yes,no,unknown,14,may,117,4,-1,0,unknown,no
31,admin.,married,secondary,no,752,yes,no,unknown,14,may,178,1,-1,0,unknown,no
51,management,divorced,tertiary,no,482,yes,no,unknown,14,may,178,1,-1,0,unknown,no
54,management,married,tertiary,no,11,no,no,unknown,14,may,452,2,-1,0,unknown,no
42,self-employed,married,primary,no,3641,yes,no,unknown,14,may,869,1,-1,0,unknown,no
34,unemployed,single,secondary,no,9,yes,no,unknown,14,may,153,2,-1,0,unknown,no
49,blue-collar,married,primary,no,0,yes,no,unknown,14,may,151,2,-1,0,unknown,no
44,blue-collar,married,primary,no,0,yes,no,unknown,14,may,220,7,-1,0,unknown,no
51,blue-collar,married,primary,no,111,yes,no,unknown,14,may,140,1,-1,0,unknown,no
28,blue-collar,married,primary,no,0,no,no,unknown,14,may,17,24,-1,0,unknown,no
36,blue-collar,married,secondary,no,0,no,no,unknown,14,may,636,6,-1,0,unknown,no
52,technician,married,secondary,no,598,no,no,unknown,14,may,266,2,-1,0,unknown,no
46,services,married,secondary,no,74,yes,no,unknown,15,may,101,4,-1,0,unknown,no
51,retired,married,secondary,no,0,no,no,unknown,15,may,70,1,-1,0,unknown,no
50,technician,married,secondary,no,892,yes,yes,unknown,15,may,234,1,-1,0,unknown,no
41,blue-collar,married,primary,no,849,yes,no,unknown,15,may,72,1,-1,0,unknown,no
29,blue-collar,single,secondary,no,874,yes,no,unknown,15,may,68,5,-1,0,unknown,no
56,management,married,tertiary,no,334,yes,no,unknown,15,may,127,2,-1,0,unknown,no
57,services,married,secondary,no,84,yes,no,unknown,15,may,59,1,-1,0,unknown,no
46,blue-collar,married,secondary,no,536,yes,no,unknown,15,may,164,2,-1,0,unknown,no
55,management,married,unknown,yes,-171,yes,no,unknown,15,may,30,2,-1,0,unknown,no
56,housemaid,divorced,secondary,no,0,no,no,unknown,15,may,103,1,-1,0,unknown,no
36,blue-collar,single,secondary,no,1392,yes,no,unknown,15,may,205,2,-1,0,unknown,no
34,blue-collar,married,unknown,no,-17,yes,no,unknown,15,may,319,7,-1,0,unknown,no
46,technician,divorced,secondary,no,435,yes,no,unknown,15,may,192,3,-1,0,unknown,no
49,technician,married,secondary,no,3033,no,no,unknown,15,may,125,5,-1,0,unknown,no
31,blue-collar,married,secondary,no,-720,yes,yes,unknown,15,may,112,2,-1,0,unknown,no
31,management,single,tertiary,no,635,yes,no,unknown,15,may,293,2,-1,0,unknown,no
36,services,single,unknown,no,281,yes,no,unknown,16,may,515,1,-1,0,unknown,yes
43,blue-collar,married,secondary,no,19,yes,no,unknown,16,may,249,1,-1,0,unknown,no
46,management,married,secondary,no,36,yes,no,unknown,16,may,250,1,-1,0,unknown,no
36,technician,single,tertiary,no,705,yes,no,unknown,16,may,111,1,-1,0,unknown,no
30,technician,single,secondary,no,677,yes,no,unknown,16,may,241,1,-1,0,unknown,no
25,blue-collar,married,secondary,no,109,yes,no,unknown,16,may,306,1,-1,0,unknown,no
35,technician,married,secondary,no,523,yes,yes,unknown,16,may,95,1,-1,0,unknown,no
24,blue-collar,married,primary,no,656,yes,no,unknown,16,may,894,1,-1,0,unknown,yes
47,blue-collar,married,unknown,no,584,yes,no,unknown,19,may,79,19,-1,0,unknown,no
55,blue-collar,married,secondary,no,1261,no,no,unknown,19,may,166,1,-1,0,unknown,no
54,blue-collar,divorced,primary,no,8180,no,no,unknown,19,may,312,1,-1,0,unknown,no
38,services,single,tertiary,no,323,yes,no,unknown,19,may,138,1,-1,0,unknown,no
35,blue-collar,single,secondary,no,5,no,no,unknown,19,may,268,3,-1,0,unknown,no
31,blue-collar,single,secondary,no,259,yes,no,unknown,19,may,287,1,-1,0,unknown,no
32,services,married,secondary,no,144,yes,no,unknown,19,may,260,11,-1,0,unknown,no
51,management,single,tertiary,no,824,no,no,unknown,19,may,102,2,-1,0,unknown,no
42,blue-collar,married,unknown,no,1323,yes,no,unknown,19,may,19,1,-1,0,unknown,no
35,technician,married,unknown,no,208,yes,no,unknown,19,may,214,1,-1,0,unknown,no
47,technician,divorced,secondary,no,1851,yes,no,unknown,19,may,140,2,-1,0,unknown,no
22,blue-collar,single,secondary,no,3992,yes,yes,unknown,19,may,194,2,-1,0,unknown,no
54,technician,divorced,secondary,no,7449,yes,no,unknown,19,may,235,7,-1,0,unknown,no
48,blue-collar,married,primary,no,490,yes,no,unknown,19,may,622,2,-1,0,unknown,no
39,admin.,married,secondary,no,6421,no,yes,unknown,20,may,661,1,-1,0,unknown,no
39,blue-collar,married,secondary,no,298,yes,no,unknown,20,may,216,1,-1,0,unknown,no
31,management,married,tertiary,no,827,no,no,unknown,20,may,38,1,-1,0,unknown,no
33,blue-collar,married,tertiary,no,6138,yes,no,unknown,20,may,369,1,-1,0,unknown,no
39,self-employed,married,tertiary,no,3059,yes,yes,unknown,20,may,394,1,-1,0,unknown,no
35,admin.,married,secondary,no,-130,yes,no,unknown,20,may,224,1,-1,0,unknown,no
33,services,married,secondary,no,7,yes,no,unknown,20,may,217,1,-1,0,unknown,no
30,blue-collar,married,secondary,no,673,yes,no,unknown,20,may,610,2,-1,0,unknown,no
59,retired,married,secondary,no,-313,yes,no,unknown,20,may,407,1,-1,0,unknown,no
32,admin.,married,secondary,no,0,yes,no,unknown,20,may,464,2,-1,0,unknown,no
32,management,single,tertiary,no,1271,yes,no,unknown,20,may,51,1,-1,0,unknown,no
34,management,married,tertiary,no,0,yes,no,unknown,20,may,150,1,-1,0,unknown,no
31,student,single,tertiary,no,410,yes,no,unknown,20,may,112,2,-1,0,unknown,no
32,blue-collar,married,secondary,no,2366,yes,no,unknown,20,may,127,2,-1,0,unknown,no
39,blue-collar,married,primary,no,622,yes,no,unknown,20,may,169,1,-1,0,unknown,no
55,self-employed,married,secondary,no,-196,yes,no,unknown,20,may,210,2,-1,0,unknown,no
36,blue-collar,married,primary,no,408,yes,yes,unknown,20,may,1063,2,-1,0,unknown,yes
45,blue-collar,married,primary,no,4170,yes,yes,unknown,20,may,114,3,-1,0,unknown,no
40,management,single,primary,no,858,yes,no,unknown,21,may,173,1,-1,0,unknown,no
34,blue-collar,married,primary,no,-167,yes,no,unknown,21,may,201,1,-1,0,unknown,no
36,student,single,tertiary,no,687,yes,no,unknown,21,may,287,3,-1,0,unknown,no
34,blue-collar,single,secondary,no,3773,yes,no,unknown,21,may,287,1,-1,0,unknown,no
37,technician,single,secondary,no,1211,yes,no,unknown,21,may,795,1,-1,0,unknown,yes
36,management,single,tertiary,no,1869,yes,no,unknown,21,may,122,2,-1,0,unknown,no
34,services,single,secondary,no,581,yes,no,unknown,21,may,176,4,-1,0,unknown,no
35,blue-collar,married,primary,no,1176,yes,no,unknown,21,may,166,2,-1,0,unknown,no
34,management,married,secondary,no,293,yes,no,unknown,21,may,162,3,-1,0,unknown,no
32,admin.,divorced,secondary,no,335,yes,no,unknown,21,may,501,2,-1,0,unknown,no
27,admin.,single,secondary,no,392,yes,yes,unknown,21,may,292,2,-1,0,unknown,no
32,technician,single,secondary,no,644,yes,yes,unknown,21,may,198,1,-1,0,unknown,no
33,blue-collar,married,primary,no,240,yes,no,unknown,21,may,373,3,-1,0,unknown,no
31,management,married,tertiary,no,4924,yes,no,unknown,21,may,389,2,-1,0,unknown,no
32,blue-collar,married,secondary,no,43,yes,no,unknown,21,may,173,2,-1,0,unknown,no
31,housemaid,single,secondary,no,540,no,no,unknown,21,may,227,3,-1,0,unknown,no
31,blue-collar,married,secondary,no,873,yes,no,unknown,23,may,145,4,-1,0,unknown,no
32,management,single,tertiary,no,3050,yes,no,unknown,23,may,298,1,-1,0,unknown,no
31,entrepreneur,single,secondary,no,159,yes,no,unknown,23,may,533,1,-1,0,unknown,no
32,technician,single,tertiary,no,390,yes,no,unknown,23,may,85,1,-1,0,unknown,no
34,housemaid,single,secondary,no,1408,yes,no,unknown,23,may,245,1,-1,0,unknown,no
39,unemployed,married,secondary,no,-455,yes,no,unknown,23,may,542,2,-1,0,unknown,no
30,technician,married,secondary,no,0,yes,no,unknown,23,may,541,2,-1,0,unknown,no
44,admin.,married,unknown,no,-299,yes,no,unknown,23,may,268,1,-1,0,unknown,no
30,management,single,tertiary,no,6,yes,no,unknown,23,may,274,2,-1,0,unknown,no
43,blue-collar,married,secondary,no,-141,yes,yes,unknown,23,may,128,1,-1,0,unknown,no
35,technician,married,secondary,no,0,yes,yes,unknown,23,may,107,2,-1,0,unknown,no
32,technician,married,tertiary,no,415,no,no,unknown,23,may,76,2,-1,0,unknown,no
58,blue-collar,married,unknown,no,5505,yes,no,unknown,23,may,317,4,-1,0,unknown,no
35,blue-collar,married,primary,no,-239,yes,no,unknown,26,may,281,1,-1,0,unknown,no
35,blue-collar,divorced,primary,no,-587,yes,no,unknown,26,may,111,1,-1,0,unknown,no
32,admin.,married,secondary,no,86,yes,no,unknown,26,may,1099,1,-1,0,unknown,no
46,blue-collar,married,secondary,no,0,yes,no,unknown,26,may,208,2,-1,0,unknown,no
37,services,married,secondary,no,3429,yes,yes,unknown,26,may,81,8,-1,0,unknown,no
33,management,single,secondary,no,-424,yes,no,unknown,26,may,863,1,-1,0,unknown,no
39,blue-collar,married,primary,no,519,yes,yes,unknown,26,may,117,1,-1,0,unknown,no
49,technician,divorced,secondary,no,-236,yes,no,unknown,26,may,204,2,-1,0,unknown,no
33,blue-collar,married,secondary,no,-45,yes,no,unknown,26,may,240,2,-1,0,unknown,no
45,blue-collar,divorced,secondary,no,77,yes,no,unknown,26,may,99,3,-1,0,unknown,no
31,services,married,secondary,no,-68,yes,no,unknown,26,may,293,4,-1,0,unknown,no
32,technician,married,secondary,no,-91,yes,no,unknown,26,may,95,2,-1,0,unknown,no
33,blue-collar,married,primary,no,1050,yes,no,unknown,26,may,304,4,-1,0,unknown,no
26,blue-collar,single,secondary,no,339,yes,no,unknown,26,may,165,5,-1,0,unknown,no
53,management,married,primary,no,-421,yes,no,unknown,26,may,543,4,-1,0,unknown,no
50,blue-collar,married,secondary,no,74,yes,yes,unknown,27,may,146,1,-1,0,unknown,no
49,technician,married,secondary,no,-849,yes,yes,unknown,27,may,197,1,-1,0,unknown,no
32,blue-collar,married,secondary,no,-1500,yes,no,unknown,27,may,157,2,-1,0,unknown,no
37,services,married,secondary,no,-24,yes,no,unknown,27,may,147,1,-1,0,unknown,no
28,management,single,tertiary,no,0,yes,no,unknown,27,may,290,1,-1,0,unknown,no
50,management,married,secondary,no,-44,yes,no,unknown,27,may,45,1,-1,0,unknown,no
29,admin.,single,tertiary,no,2904,yes,no,unknown,27,may,33,1,-1,0,unknown,no
32,admin.,married,secondary,no,-370,yes,no,unknown,27,may,98,1,-1,0,unknown,no
60,technician,married,tertiary,no,1626,yes,yes,unknown,27,may,395,2,-1,0,unknown,no
47,technician,married,tertiary,no,-512,yes,yes,unknown,27,may,220,2,-1,0,unknown,no
30,blue-collar,single,secondary,no,49,no,yes,unknown,27,may,210,2,-1,0,unknown,no
41,services,married,secondary,no,1141,yes,no,unknown,27,may,228,1,-1,0,unknown,no
28,blue-collar,married,secondary,no,0,yes,no,unknown,27,may,548,1,-1,0,unknown,no
28,management,married,tertiary,no,13186,yes,no,unknown,27,may,466,2,-1,0,unknown,no
28,blue-collar,single,unknown,no,913,yes,no,unknown,27,may,580,2,-1,0,unknown,no
34,blue-collar,married,secondary,no,1412,yes,yes,unknown,27,may,157,2,-1,0,unknown,no
48,management,single,secondary,no,61,yes,no,unknown,28,may,198,1,-1,0,unknown,no
26,blue-collar,single,secondary,no,535,yes,yes,unknown,28,may,252,1,-1,0,unknown,no
24,services,single,secondary,no,1611,yes,no,unknown,28,may,418,1,-1,0,unknown,no
25,blue-collar,single,secondary,no,1966,yes,no,unknown,28,may,209,1,-1,0,unknown,no
28,blue-collar,single,secondary,no,1,no,no,unknown,28,may,181,1,-1,0,unknown,no
31,technician,single,primary,no,449,yes,no,unknown,28,may,174,1,-1,0,unknown,no
27,technician,married,unknown,no,811,yes,no,unknown,28,may,591,2,-1,0,unknown,no
39,unemployed,single,secondary,no,-53,yes,no,unknown,28,may,189,3,-1,0,unknown,no
29,admin.,married,tertiary,no,26,yes,no,unknown,28,may,45,1,-1,0,unknown,no
47,management,married,secondary,no,490,yes,no,unknown,28,may,227,1,-1,0,unknown,no
29,technician,single,secondary,no,22008,yes,no,unknown,28,may,139,2,-1,0,unknown,no
44,blue-collar,married,secondary,no,-73,yes,no,unknown,28,may,80,9,-1,0,unknown,no
36,blue-collar,single,secondary,no,3254,yes,no,unknown,28,may,300,3,-1,0,unknown,no
54,retired,married,secondary,no,24,yes,no,unknown,28,may,404,1,-1,0,unknown,no
35,self-employed,single,tertiary,no,935,yes,no,unknown,28,may,259,2,-1,0,unknown,no
32,admin.,single,secondary,no,73,yes,no,unknown,28,may,545,1,-1,0,unknown,no
33,blue-collar,married,primary,no,-342,yes,no,unknown,28,may,528,2,-1,0,unknown,no
51,blue-collar,married,primary,no,-1,no,no,unknown,28,may,110,8,-1,0,unknown,no
47,technician,married,unknown,no,-598,yes,no,unknown,28,may,239,4,-1,0,unknown,no
51,entrepreneur,married,unknown,no,606,yes,no,unknown,28,may,560,9,-1,0,unknown,yes
37,management,single,secondary,no,34,yes,no,unknown,29,may,285,1,-1,0,unknown,no
52,technician,single,tertiary,no,1308,yes,no,unknown,29,may,361,1,-1,0,unknown,no
40,services,married,secondary,no,1938,no,no,unknown,29,may,37,1,-1,0,unknown,no
54,technician,married,secondary,no,-939,yes,no,unknown,29,may,202,1,-1,0,unknown,no
36,blue-collar,married,secondary,no,722,yes,no,unknown,29,may,103,7,-1,0,unknown,no
44,blue-collar,married,secondary,no,2523,yes,no,unknown,29,may,1236,2,-1,0,unknown,no
33,technician,married,secondary,no,1072,no,yes,unknown,29,may,144,2,-1,0,unknown,no
44,technician,married,secondary,no,13761,yes,no,unknown,29,may,65,1,-1,0,unknown,no
47,unemployed,married,secondary,no,351,yes,yes,unknown,29,may,370,1,-1,0,unknown,no
43,self-employed,married,unknown,no,6,yes,no,unknown,29,may,365,2,-1,0,unknown,no
48,blue-collar,married,unknown,no,100,yes,no,unknown,29,may,206,1,-1,0,unknown,no
23,technician,married,secondary,no,8254,yes,no,unknown,29,may,409,3,-1,0,unknown,no
58,blue-collar,married,primary,no,0,yes,no,unknown,29,may,535,2,-1,0,unknown,no
52,blue-collar,married,secondary,no,691,yes,no,unknown,29,may,158,1,-1,0,unknown,no
37,blue-collar,married,secondary,no,1731,yes,yes,unknown,29,may,148,4,-1,0,unknown,no
40,blue-collar,married,secondary,no,0,yes,yes,unknown,29,may,245,3,-1,0,unknown,no
35,admin.,divorced,secondary,no,869,yes,no,unknown,29,may,173,1,-1,0,unknown,no
55,management,married,tertiary,no,856,yes,yes,unknown,29,may,101,4,-1,0,unknown,no
43,management,married,tertiary,yes,-3372,yes,no,unknown,29,may,386,2,-1,0,unknown,no
52,unemployed,married,secondary,no,32,yes,no,unknown,29,may,144,5,-1,0,unknown,no
31,admin.,single,secondary,no,0,yes,yes,unknown,29,may,183,3,-1,0,unknown,no
53,blue-collar,married,secondary,no,1852,yes,no,unknown,29,may,134,4,-1,0,unknown,no
34,services,married,secondary,no,457,yes,no,unknown,30,may,67,2,-1,0,unknown,no
46,management,divorced,tertiary,no,14481,yes,no,unknown,30,may,1269,1,-1,0,unknown,yes
40,management,single,tertiary,no,-199,yes,yes,unknown,30,may,109,1,-1,0,unknown,no
35,blue-collar,married,secondary,no,698,yes,yes,unknown,30,may,1343,3,-1,0,unknown,yes
46,blue-collar,married,primary,no,-287,yes,no,unknown,30,may,113,3,-1,0,unknown,no
55,admin.,married,secondary,no,139,yes,no,unknown,30,may,26,25,-1,0,unknown,no
52,management,divorced,tertiary,no,12,yes,no,unknown,30,may,33,5,-1,0,unknown,no
50,blue-collar,married,secondary,no,2641,yes,no,unknown,30,may,97,3,-1,0,unknown,no
40,blue-collar,married,primary,no,68,yes,no,unknown,30,may,170,19,-1,0,unknown,no
54,blue-collar,married,secondary,no,5210,yes,yes,unknown,30,may,123,4,-1,0,unknown,no
43,entrepreneur,married,secondary,no,641,yes,yes,unknown,2,jun,251,4,-1,0,unknown,no
53,blue-collar,married,primary,no,256,yes,no,unknown,2,jun,202,1,-1,0,unknown,no
38,blue-collar,single,secondary,no,4,yes,no,unknown,2,jun,129,1,-1,0,unknown,no
31,blue-collar,single,primary,no,859,yes,no,unknown,2,jun,80,1,-1,0,unknown,no
33,blue-collar,married,primary,no,3868,yes,no,unknown,2,jun,445,1,-1,0,unknown,no
35,management,single,tertiary,no,0,yes,no,unknown,2,jun,184,1,-1,0,unknown,no
34,management,single,tertiary,no,0,yes,no,unknown,2,jun,83,1,-1,0,unknown,no
28,blue-collar,single,primary,no,8263,yes,no,unknown,2,jun,267,1,-1,0,unknown,no
28,blue-collar,married,primary,no,-511,yes,no,unknown,2,jun,82,1,-1,0,unknown,no
45,services,married,secondary,no,-158,yes,no,unknown,2,jun,91,1,-1,0,unknown,no
42,technician,married,secondary,no,-887,no,no,unknown,2,jun,349,4,-1,0,unknown,no
36,blue-collar,married,secondary,yes,-2,no,no,unknown,2,jun,316,1,-1,0,unknown,no
51,blue-collar,married,unknown,no,0,no,no,unknown,2,jun,61,7,-1,0,unknown,no
39,blue-collar,married,primary,no,592,yes,no,unknown,2,jun,222,2,-1,0,unknown,no
55,services,married,secondary,no,1695,yes,no,unknown,3,jun,69,2,-1,0,unknown,no
46,blue-collar,married,primary,no,596,yes,no,unknown,3,jun,404,13,-1,0,unknown,no
37,self-employed,married,tertiary,no,1510,yes,no,unknown,3,jun,88,2,-1,0,unknown,no
37,blue-collar,married,secondary,yes,-399,yes,yes,unknown,3,jun,21,3,-1,0,unknown,no
39,unemployed,married,secondary,no,270,yes,no,unknown,3,jun,116,1,-1,0,unknown,no
35,management,single,tertiary,no,4788,yes,no,unknown,3,jun,227,1,-1,0,unknown,no
30,blue-collar,married,primary,no,346,yes,no,unknown,3,jun,135,1,-1,0,unknown,no
30,services,divorced,secondary,no,167,yes,no,unknown,3,jun,237,2,-1,0,unknown,no
30,blue-collar,single,secondary,no,855,yes,no,unknown,3,jun,235,2,-1,0,unknown,no
38,admin.,divorced,secondary,no,4630,yes,no,unknown,3,jun,133,3,-1,0,unknown,no
58,technician,married,unknown,no,-205,yes,no,unknown,3,jun,497,2,-1,0,unknown,no
39,management,married,tertiary,no,0,yes,no,unknown,3,jun,164,2,-1,0,unknown,no
36,technician,single,secondary,no,7503,yes,no,unknown,4,jun,25,1,-1,0,unknown,no
28,unemployed,married,secondary,no,655,yes,no,unknown,4,jun,606,2,-1,0,unknown,no
51,blue-collar,married,secondary,no,568,yes,no,unknown,4,jun,37,1,-1,0,unknown,no
42,services,married,secondary,no,717,yes,no,unknown,4,jun,152,6,-1,0,unknown,no
40,blue-collar,married,primary,yes,11,yes,yes,unknown,5,jun,83,3,-1,0,unknown,no
50,technician,married,primary,no,883,yes,no,unknown,5,jun,170,1,-1,0,unknown,no
47,entrepreneur,married,secondary,no,0,no,no,unknown,5,jun,1446,1,-1,0,unknown,yes
37,entrepreneur,divorced,secondary,no,14,no,no,unknown,5,jun,22,1,-1,0,unknown,no
36,blue-collar,married,secondary,no,346,yes,no,unknown,5,jun,202,1,-1,0,unknown,no
43,blue-collar,single,secondary,no,318,yes,no,unknown,5,jun,736,2,-1,0,unknown,yes
45,services,married,secondary,no,0,no,yes,unknown,5,jun,370,2,-1,0,unknown,no
53,housemaid,married,primary,no,104,no,yes,unknown,5,jun,701,1,-1,0,unknown,yes
37,blue-collar,married,unknown,no,1795,yes,no,unknown,5,jun,511,1,-1,0,unknown,no
46,technician,married,secondary,no,792,no,no,unknown,5,jun,170,2,-1,0,unknown,no
48,entrepreneur,divorced,tertiary,no,275,no,yes,unknown,5,jun,34,1,-1,0,unknown,no
